subject,hours,start_date,start_time,days,break_min,weekly_off
physics,1,,,,0,none
physics,1,,,,0,none
physics,1,,,,0,none
physics,2,,,,0,none
physics,2,,,,0,none
physics,2,,,,0,none
physics,2,,,,0,none
physics,2,,,,0,none
physics,2,2025-12-23,18:00,7,0,none
math,2,2025-12-23,18:00,7,0,none
physics,2,2025-12-23,18:00,7,10,tue
